x,y,z
26.096,49.689,-0.0
26.143,49.777,-0.0
26.189,49.866,-0.0
26.236,49.954,-0.0
26.282,50.043,-0.0
26.329,50.131,-0.0
26.375,50.219,-0.0
26.421,50.309,-0.0
26.467,50.397,-0.0
26.514,50.486,-0.0
26.56,50.574,-0.0
26.607,50.663,-0.0
26.653,50.751,-0.0
26.7,50.84,-0.0
26.746,50.928,-0.0
26.793,51.017,-0.0
26.839,51.106,-0.0
26.886,51.195,-0.0
26.932,51.283,-0.0
26.979,51.371,-0.0
27.025,51.46,-0.0
27.071,51.548,-0.0
27.118,51.636,-0.0
27.165,51.725,-0.0
27.211,51.813,-0.0
27.258,51.903,-0.0
27.304,51.991,-0.0
27.351,52.079,-0.0
27.399,52.167,-0.0
27.445,52.256,-0.0
27.491,52.345,-0.0
27.537,52.433,-0.0
27.583,52.522,-0.0
27.629,52.611,-0.0
27.674,52.699,-0.0
27.72,52.789,-0.0
27.766,52.878,-0.0
27.812,52.967,-0.0
27.858,53.055,-0.0
27.904,53.144,-0.0
27.95,53.233,-0.0
27.997,53.321,-0.0
28.043,53.41,-0.0
28.089,53.498,-0.0
28.136,53.588,-0.0
28.182,53.676,-0.0
28.229,53.764,-0.0
28.274,53.853,-0.0
28.321,53.941,-0.0
28.367,54.03,-0.0
28.414,54.118,-0.0
28.46,54.207,-0.0
28.507,54.295,-0.0
28.553,54.384,-0.0
28.6,54.473,-0.0
28.647,54.561,-0.0
28.694,54.649,-0.0
28.742,54.737,-0.0
28.789,54.825,-0.0
28.836,54.913,-0.0
28.884,55.001,-0.0
28.929,55.09,-0.0
28.973,55.18,-0.0
29.017,55.27,-0.0
29.062,55.36,-0.0
29.106,55.449,-0.0
29.151,55.538,-0.0
29.198,55.627,-0.0
29.244,55.715,-0.0
29.29,55.804,-0.0
29.337,55.892,-0.0
29.383,55.981,-0.0
29.429,56.069,-0.0
29.475,56.159,-0.0
29.522,56.247,-0.0
29.568,56.336,-0.0
29.615,56.424,-0.0
29.661,56.513,-0.0
29.708,56.601,-0.0
29.754,56.69,-0.0
29.801,56.778,-0.0
29.847,56.866,-0.0
29.895,56.955,-0.0
29.943,57.043,-0.0
29.991,57.131,-0.0
30.038,57.218,-0.0
30.086,57.306,-0.0
30.133,57.394,-0.0
30.18,57.482,-0.0
30.227,57.571,-0.0
30.274,57.659,-0.0
30.322,57.747,-0.0
30.369,57.835,-0.0
30.416,57.923,-0.0
30.463,58.011,-0.0
30.509,58.1,-0.0
30.556,58.188,-0.0
30.602,58.277,-0.0
30.649,58.366,-0.0
30.695,58.455,-0.0
30.742,58.543,-0.0
30.787,58.632,-0.0
30.834,58.72,-0.0
30.88,58.809,-0.0
30.927,58.897,-0.0
30.973,58.986,-0.0
31.02,59.074,-0.0
31.066,59.164,-0.0
31.113,59.252,-0.0
31.157,59.342,-0.0
31.201,59.431,-0.0
31.245,59.521,-0.0
31.289,59.611,-0.0
31.333,59.7,-0.0
31.379,59.789,-0.0
31.426,59.877,-0.0
31.474,59.965,-0.0
31.522,60.052,-0.0
31.569,60.141,-0.0
31.617,60.229,-0.0
31.665,60.317,-0.0
31.713,60.404,-0.0
31.76,60.492,-0.0
31.808,60.58,-0.0
31.856,60.668,-0.0
31.902,60.757,-0.0
31.949,60.846,-0.0
31.995,60.934,-0.0
32.041,61.023,-0.0
32.087,61.111,-0.0
32.134,61.2,-0.0
32.18,61.288,-0.0
32.226,61.377,-0.0
32.273,61.465,-0.0
32.319,61.554,-0.0
32.366,61.643,-0.0
32.412,61.731,-0.0
32.459,61.82,-0.0
32.505,61.908,-0.0
32.552,61.997,-0.0
32.597,62.086,-0.0
32.642,62.175,-0.0
32.687,62.264,-0.0
32.732,62.353,-0.0
32.778,62.442,-0.0
32.823,62.532,-0.0
32.869,62.621,-0.0
32.914,62.71,-0.0
32.96,62.799,-0.0
33.006,62.888,-0.0
33.053,62.976,-0.0
33.1,63.064,-0.0
33.146,63.152,-0.0
33.192,63.241,-0.0
33.239,63.33,-0.0
33.286,63.418,-0.0
33.332,63.507,-0.0
33.379,63.595,-0.0
33.425,63.684,-0.0
33.471,63.772,-0.0
33.518,63.861,-0.0
33.564,63.949,-0.0
33.611,64.038,-0.0
33.657,64.127,-0.0
33.704,64.216,-0.0
33.75,64.304,-0.0
33.797,64.393,-0.0
33.842,64.481,-0.0
33.889,64.57,-0.0
33.935,64.658,-0.0
33.981,64.747,-0.0
34.027,64.835,-0.0
34.073,64.924,-0.0
34.119,65.014,-0.0
34.166,65.102,-0.0
34.213,65.19,-0.0
34.26,65.278,-0.0
34.307,65.366,-0.0
34.355,65.455,-0.0
34.402,65.543,-0.0
34.448,65.631,-0.0
34.495,65.72,-0.0
34.542,65.808,-0.0
34.589,65.896,-0.0
34.636,65.985,-0.0
34.682,66.073,-0.0
34.729,66.161,-0.0
34.775,66.25,-0.0
34.822,66.338,-0.0
